hrs,absences,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
7.598149263721389,4.0,3.0,3.0,2.0,1.0,3.0,41.0,Travel_Rarely,Research & Development,24.0,1.0,Life Sciences,1.0,3149.0,Male,1.0,Research Director,Married,26610.0,7.0,Y,14.0,8.0,1.0,22.0,2.0,18.0,11.0,8.0
6.309892904953055,15.0,1.0,3.0,2.0,3.0,2.0,40.0,Travel_Frequently,Research & Development,2.0,4.0,Medical,1.0,580.0,Male,4.0,Human Resources,Single,75960.0,9.0,Y,11.0,8.0,0.0,20.0,0.0,18.0,2.0,13.0
7.0027030343594445,10.0,3.0,3.0,3.0,1.0,2.0,49.0,Travel_Rarely,Research & Development,1.0,4.0,Life Sciences,1.0,890.0,Male,3.0,Healthcare Representative,Married,69490.0,1.0,Y,14.0,8.0,1.0,10.0,2.0,9.0,1.0,4.0
9.032421909861666,10.0,3.0,4.0,4.0,3.0,2.0,19.0,Travel_Rarely,Research & Development,5.0,2.0,Life Sciences,1.0,2810.0,Male,1.0,Manager,Single,53320.0,1.0,Y,23.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0
6.7040261044175,20.0,2.0,3.0,3.0,3.0,3.0,29.0,Travel_Rarely,Research & Development,20.0,1.0,Medical,1.0,3855.0,Female,2.0,Manager,Single,41630.0,9.0,Y,15.0,8.0,1.0,8.0,4.0,5.0,1.0,4.0
7.202362784471111,19.0,4.0,3.0,4.0,4.0,2.0,32.0,Travel_Rarely,Research & Development,5.0,3.0,Medical,1.0,4363.0,Male,1.0,Healthcare Representative,Married,34770.0,1.0,Y,11.0,8.0,0.0,14.0,2.0,14.0,9.0,8.0
7.158298750557778,20.0,3.0,3.0,2.0,4.0,4.0,33.0,Travel_Frequently,Research & Development,2.0,3.0,Medical,1.0,3673.0,Female,1.0,Sales Executive,Married,87930.0,6.0,Y,17.0,8.0,0.0,8.0,2.0,5.0,1.0,2.0
6.212112896028334,22.0,1.0,3.0,2.0,3.0,3.0,42.0,Travel_Rarely,Research & Development,4.0,4.0,Life Sciences,1.0,2964.0,Male,1.0,Manufacturing Director,Married,89260.0,1.0,Y,14.0,8.0,0.0,20.0,4.0,20.0,11.0,6.0
6.319762382864722,21.0,3.0,4.0,4.0,2.0,2.0,53.0,Travel_Rarely,Research & Development,2.0,4.0,Technical Degree,1.0,2256.0,Male,2.0,Manager,Single,116910.0,4.0,Y,20.0,8.0,0.0,35.0,2.0,9.0,8.0,8.0
5.680271084337222,13.0,3.0,3.0,3.0,1.0,3.0,46.0,Travel_Rarely,Research & Development,2.0,3.0,Life Sciences,1.0,604.0,Male,2.0,Research Scientist,Married,165550.0,8.0,Y,14.0,8.0,2.0,28.0,4.0,26.0,15.0,9.0
5.535181838464722,19.0,2.0,3.0,2.0,3.0,3.0,35.0,Travel_Rarely,Research & Development,22.0,3.0,Medical,1.0,1660.0,Female,1.0,Sales Representative,Married,29660.0,9.0,Y,18.0,8.0,0.0,15.0,2.0,11.0,6.0,9.0
7.6939491298525,3.0,2.0,3.0,4.0,1.0,3.0,50.0,Travel_Rarely,Research & Development,2.0,2.0,Medical,1.0,3860.0,Male,3.0,Sales Executive,Divorced,43770.0,5.0,Y,12.0,8.0,1.0,19.0,2.0,14.0,1.0,11.0
10.080995091476945,17.0,4.0,3.0,4.0,1.0,3.0,39.0,Travel_Frequently,Sales,11.0,3.0,Marketing,1.0,1966.0,Male,1.0,Sales Executive,Single,160150.0,1.0,Y,11.0,8.0,0.0,21.0,3.0,21.0,2.0,8.0
6.163679161088611,13.0,2.0,3.0,2.0,3.0,3.0,40.0,Travel_Rarely,Research & Development,3.0,3.0,Life Sciences,1.0,721.0,Male,2.0,Sales Executive,Divorced,45770.0,5.0,Y,11.0,8.0,1.0,15.0,3.0,12.0,11.0,8.0
9.545198572065834,16.0,3.0,3.0,4.0,1.0,3.0,34.0,Non-Travel,Research & Development,27.0,2.0,Life Sciences,1.0,4036.0,Female,1.0,Sales Representative,Married,36920.0,1.0,Y,12.0,8.0,1.0,5.0,5.0,5.0,3.0,0.0
6.773713743864167,5.0,3.0,3.0,4.0,3.0,3.0,41.0,Travel_Rarely,Research & Development,2.0,3.0,Life Sciences,1.0,1950.0,Male,2.0,Research Scientist,Single,47410.0,6.0,Y,16.0,8.0,0.0,8.0,3.0,2.0,2.0,1.0
6.213535252119445,21.0,3.0,3.0,3.0,4.0,2.0,33.0,Travel_Rarely,Research & Development,2.0,4.0,Life Sciences,1.0,1459.0,Female,1.0,Sales Executive,Married,27660.0,1.0,Y,12.0,8.0,1.0,2.0,2.0,2.0,0.0,2.0
6.976487059348333,17.0,2.0,3.0,3.0,1.0,3.0,30.0,Travel_Rarely,Sales,20.0,3.0,Marketing,1.0,2078.0,Male,3.0,Sales Executive,Divorced,48100.0,8.0,Y,18.0,8.0,0.0,8.0,3.0,4.0,0.0,3.0
8.777667336010555,11.0,2.0,3.0,4.0,2.0,3.0,30.0,Travel_Rarely,Sales,9.0,3.0,Marketing,1.0,629.0,Female,1.0,Research Scientist,Married,90710.0,0.0,Y,19.0,8.0,1.0,12.0,2.0,11.0,5.0,7.0
5.6733757251225,21.0,3.0,3.0,3.0,4.0,2.0,40.0,Travel_Rarely,Research & Development,11.0,2.0,Technical Degree,1.0,1371.0,Male,4.0,Laboratory Technician,Married,52950.0,7.0,Y,18.0,8.0,0.0,15.0,4.0,12.0,2.0,11.0
8.247273538598611,13.0,3.0,3.0,3.0,4.0,2.0,26.0,Travel_Rarely,Human Resources,9.0,3.0,Life Sciences,1.0,3595.0,Male,2.0,Research Scientist,Single,68110.0,1.0,Y,11.0,8.0,1.0,8.0,4.0,8.0,2.0,2.0
7.767505577866944,19.0,3.0,3.0,3.0,2.0,3.0,39.0,Travel_Rarely,Sales,29.0,1.0,Marketing,1.0,3620.0,Female,1.0,Laboratory Technician,Divorced,54600.0,6.0,Y,13.0,8.0,2.0,21.0,3.0,19.0,15.0,2.0
6.3577933958052775,17.0,1.0,3.0,4.0,2.0,3.0,24.0,Travel_Rarely,Sales,7.0,3.0,Medical,1.0,219.0,Female,1.0,Laboratory Technician,Married,12320.0,1.0,Y,12.0,8.0,0.0,1.0,4.0,1.0,0.0,0.0
10.8810575635875,2.0,3.0,3.0,1.0,4.0,2.0,44.0,Travel_Rarely,Research & Development,22.0,3.0,Medical,1.0,3314.0,Female,1.0,Laboratory Technician,Married,104530.0,2.0,Y,11.0,8.0,1.0,10.0,2.0,3.0,0.0,2.0
6.922603748326389,20.0,3.0,3.0,2.0,3.0,3.0,31.0,Travel_Rarely,Research & Development,2.0,4.0,Life Sciences,1.0,4024.0,Female,5.0,Manager,Divorced,103770.0,1.0,Y,14.0,8.0,0.0,10.0,2.0,10.0,0.0,2.0
7.573883311021667,11.0,3.0,3.0,1.0,4.0,3.0,40.0,Travel_Rarely,Sales,1.0,4.0,Marketing,1.0,528.0,Male,1.0,Sales Executive,Married,48690.0,4.0,Y,12.0,8.0,0.0,14.0,2.0,11.0,11.0,1.0
10.677810129406389,3.0,3.0,3.0,4.0,2.0,3.0,38.0,Travel_Frequently,Research & Development,4.0,2.0,Medical,1.0,1116.0,Female,1.0,Manager,Divorced,44440.0,1.0,Y,13.0,8.0,0.0,20.0,2.0,20.0,0.0,7.0
7.428519634091667,6.0,3.0,3.0,3.0,1.0,3.0,28.0,Travel_Rarely,Sales,1.0,2.0,Life Sciences,1.0,2520.0,Male,3.0,Manager,Married,44770.0,1.0,Y,15.0,8.0,0.0,3.0,6.0,3.0,1.0,2.0
7.925203034359445,8.0,3.0,3.0,1.0,4.0,4.0,35.0,Travel_Frequently,Research & Development,13.0,3.0,Life Sciences,1.0,3898.0,Male,3.0,Sales Executive,Single,20420.0,0.0,Y,16.0,8.0,0.0,6.0,2.0,5.0,1.0,4.0
5.8098393574294445,12.0,2.0,3.0,4.0,2.0,3.0,48.0,Travel_Rarely,Research & Development,2.0,3.0,Life Sciences,1.0,1074.0,Female,2.0,Manager,Married,62720.0,4.0,Y,14.0,8.0,0.0,29.0,3.0,22.0,12.0,9.0
9.744162204372778,13.0,2.0,3.0,4.0,1.0,3.0,29.0,Travel_Rarely,Human Resources,3.0,5.0,Life Sciences,1.0,454.0,Male,1.0,Sales Executive,Single,27230.0,6.0,Y,11.0,8.0,1.0,3.0,2.0,0.0,0.0,0.0
9.895960508701389,5.0,2.0,3.0,2.0,1.0,2.0,30.0,Travel_Rarely,Research & Development,4.0,3.0,Life Sciences,1.0,1943.0,Female,5.0,Healthcare Representative,Married,56050.0,0.0,Y,12.0,8.0,1.0,9.0,0.0,8.0,1.0,7.0
6.992243418116667,14.0,1.0,3.0,3.0,4.0,3.0,37.0,Travel_Frequently,Research & Development,13.0,4.0,Life Sciences,1.0,391.0,Female,3.0,Human Resources,Married,35640.0,5.0,Y,11.0,8.0,0.0,10.0,1.0,5.0,0.0,0.0
